epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,4050.25,0.77163,0.34783,0.00468,0.85744,0.50774,0.54352,0.22785,2.5162,2.59722,0.02241,0.0006635,0.0006635,0.0006635
56,4141.08,0.75596,0.36927,0.00462,0.88099,0.5042,0.52034,0.21599,2.51352,2.65233,0.02216,0.00063875,0.00063875,0.00063875
57,4232.18,0.73682,0.36358,0.00451,0.83384,0.49536,0.51651,0.20675,2.53693,2.82994,0.02254,0.000614,0.000614,0.000614
58,4324.69,0.72807,0.36075,0.00438,0.80686,0.50464,0.52151,0.20904,2.53507,2.75896,0.02234,0.00058925,0.00058925,0.00058925
59,4414.78,0.69484,0.31637,0.00447,0.89241,0.49226,0.53122,0.21134,2.57523,2.71528,0.02326,0.0005645,0.0005645,0.0005645
60,4505.82,0.70241,0.32296,0.00446,0.87281,0.49536,0.52076,0.21188,2.45054,2.78575,0.02186,0.00053975,0.00053975,0.00053975
61,4600.93,0.6884,0.33333,0.00431,0.86337,0.50155,0.53932,0.20811,2.49677,2.67049,0.02206,0.000515,0.000515,0.000515
62,4691.18,0.69376,0.31833,0.00464,0.87063,0.51084,0.53855,0.22001,2.46422,2.64235,0.02187,0.00049025,0.00049025,0.00049025
63,4803.37,0.65303,0.31076,0.00406,0.83061,0.50097,0.53222,0.2111,2.55489,2.63674,0.02325,0.0004655,0.0004655,0.0004655
64,4929.34,0.63519,0.30491,0.00396,0.86067,0.47988,0.51725,0.21029,2.47937,2.65687,0.02192,0.00044075,0.00044075,0.00044075
65,5044.31,0.63587,0.29136,0.00395,0.8711,0.50464,0.52951,0.20738,2.52159,2.78183,0.02239,0.000416,0.000416,0.000416
66,5147.8,0.57088,0.23109,0.00338,0.84526,0.51393,0.52506,0.21179,2.46161,2.83315,0.02173,0.00039125,0.00039125,0.00039125
67,5237.07,0.55511,0.22624,0.00333,0.84555,0.5085,0.52988,0.20722,2.46599,2.83954,0.02185,0.0003665,0.0003665,0.0003665
68,5326.81,0.55234,0.21194,0.00343,0.8401,0.53677,0.53795,0.21373,2.42512,2.84515,0.02106,0.00034175,0.00034175,0.00034175
69,5415.8,0.53819,0.22071,0.00313,0.83697,0.52632,0.53177,0.21467,2.46161,2.78096,0.0217,0.000317,0.000317,0.000317
70,5505.38,0.52346,0.19806,0.00309,0.84884,0.52941,0.53488,0.21591,2.43583,2.84783,0.02153,0.00029225,0.00029225,0.00029225
71,5594.45,0.52363,0.20832,0.00301,0.8423,0.51262,0.53011,0.20852,2.47655,2.89694,0.0217,0.0002675,0.0002675,0.0002675
72,5684.16,0.54922,0.22054,0.00323,0.85331,0.51703,0.52519,0.21125,2.45936,2.85856,0.02167,0.00024275,0.00024275,0.00024275
73,5773.86,0.51939,0.22449,0.00309,0.84818,0.51703,0.52853,0.21409,2.46625,2.84817,0.02172,0.000218,0.000218,0.000218
74,5862.89,0.52555,0.2043,0.00302,0.83411,0.52322,0.52957,0.21414,2.43081,2.82649,0.02142,0.00019325,0.00019325,0.00019325
75,5951.51,0.50687,0.22053,0.00286,0.84816,0.5188,0.53015,0.21221,2.4412,2.75795,0.02167,0.0001685,0.0001685,0.0001685
76,6041.22,0.51851,0.21303,0.00304,0.84217,0.52322,0.53215,0.21172,2.42698,2.74832,0.02144,0.00014375,0.00014375,0.00014375
77,6131.7,0.49153,0.20064,0.00283,0.84714,0.52012,0.53256,0.21223,2.4409,2.78261,0.02179,0.000119,0.000119,0.000119
78,6221.79,0.497,0.19903,0.00292,0.8446,0.52012,0.5318,0.21165,2.43285,2.83161,0.02159,9.425e-05,9.425e-05,9.425e-05
79,6310.93,0.48827,0.18682,0.00284,0.85238,0.52012,0.53268,0.21255,2.44595,2.78988,0.02178,6.95e-05,6.95e-05,6.95e-05
80,6401.76,0.49356,0.21377,0.00283,0.86439,0.51703,0.53252,0.21228,2.43523,2.79641,0.02172,4.475e-05,4.475e-05,4.475e-05
